Order_Id,Order_Date,Quantity,Status
1,2013-07-25 00:00:00,11599,CLOSED
2,2013-07-25 00:00:00,256,PENDING_PAYMENT
3,2013-07-25 00:00:00,12111,COMPLETE
4,2013-07-25 00:00:00,8827,CLOSED
5,2013-07-25 00:00:00,11318,COMPLETE
6,2013-07-25 00:00:00,7130,COMPLETE
7,2013-07-25 00:00:00,4530,COMPLETE
8,2013-07-25 00:00:00,2911,PROCESSING
9,2013-07-25 00:00:00,5657,PENDING_PAYMENT
10,2013-07-25 00:00:00,5648,PENDING_PAYMENT
11,2013-07-25 00:00:00,918,PAYMENT_REVIEW
12,2013-07-25 00:00:00,1837,CLOSED
13,2013-07-25 00:00:00,9149,PENDING_PAYMENT
14,2013-07-25 00:00:00,9842,PROCESSING
15,2013-07-25 00:00:00,2568,COMPLETE
16,2013-07-25 00:00:00,7276,PENDING_PAYMENT
17,2013-07-25 00:00:00,2667,COMPLETE
18,2013-07-25 00:00:00,1205,CLOSED
19,2013-07-25 00:00:00,9488,PENDING_PAYMENT
20,2013-07-25 00:00:00,9198,PROCESSING
21,2013-07-25 00:00:00,2711,PENDING
22,2013-07-25 00:00:00,333,COMPLETE
23,2013-07-25 00:00:00,4367,PENDING_PAYMENT
24,2013-07-25 00:00:00,11441,CLOSED
25,2013-07-25 00:00:00,9503,CLOSED
26,2013-07-25 00:00:00,7562,COMPLETE
27,2013-07-25 00:00:00,3241,PENDING_PAYMENT
28,2013-07-25 00:00:00,656,COMPLETE
29,2013-07-25 00:00:00,196,PROCESSING
30,2013-07-25 00:00:00,10039,PENDING_PAYMENT
31,2013-07-25 00:00:00,6983,PAYMENT_REVIEW
32,2013-07-25 00:00:00,3960,COMPLETE
33,2013-07-25 00:00:00,5793,PENDING_PAYMENT
34,2013-07-25 00:00:00,4189,PROCESSING
35,2013-07-25 00:00:00,4840,COMPLETE
36,2013-07-25 00:00:00,5649,PENDING
37,2013-07-25 00:00:00,5863,CLOSED
38,2013-07-25 00:00:00,11586,PROCESSING
39,2013-07-25 00:00:00,8214,PENDING
40,2013-07-25 00:00:00,12092,PENDING_PAYMENT
41,2013-07-25 00:00:00,8136,PENDING_PAYMENT
42,2013-07-25 00:00:00,9776,PENDING
43,2013-07-25 00:00:00,7776,PENDING_PAYMENT
44,2013-07-25 00:00:00,10500,PENDING
45,2013-07-25 00:00:00,2636,COMPLETE
46,2013-07-25 00:00:00,1549,ON_HOLD
47,2013-07-25 00:00:00,8487,PENDING_PAYMENT
48,2013-07-25 00:00:00,12186,PROCESSING
49,2013-07-25 00:00:00,1871,PENDING
50,2013-07-25 00:00:00,5225,CANCELED
51,2013-07-25 00:00:00,12271,CLOSED
52,2013-07-25 00:00:00,5126,PENDING_PAYMENT
53,2013-07-25 00:00:00,4701,PROCESSING
54,2013-07-25 00:00:00,10628,PENDING_PAYMENT
55,2013-07-25 00:00:00,2052,PENDING
56,2013-07-25 00:00:00,10519,COMPLETE
57,2013-07-25 00:00:00,7073,CLOSED
58,2013-07-25 00:00:00,9213,PENDING_PAYMENT
59,2013-07-25 00:00:00,11644,PENDING_PAYMENT
60,2013-07-25 00:00:00,8365,PENDING_PAYMENT
61,2013-07-25 00:00:00,4791,CLOSED
62,2013-07-25 00:00:00,9111,CLOSED
63,2013-07-25 00:00:00,1148,COMPLETE
64,2013-07-25 00:00:00,5579,PENDING_PAYMENT
65,2013-07-25 00:00:00,5903,COMPLETE
66,2013-07-25 00:00:00,1792,ON_HOLD
67,2013-07-25 00:00:00,1406,COMPLETE
68,2013-07-25 00:00:00,4320,PENDING
69,2013-07-25 00:00:00,2821,SUSPECTED_FRAUD
70,2013-07-25 00:00:00,11809,PENDING_PAYMENT
71,2013-07-25 00:00:00,8646,COMPLETE
72,2013-07-25 00:00:00,4349,COMPLETE
73,2013-07-25 00:00:00,8504,PENDING_PAYMENT
74,2013-07-25 00:00:00,662,PENDING_PAYMENT
75,2013-07-25 00:00:00,2505,PENDING_PAYMENT
76,2013-07-25 00:00:00,6898,COMPLETE
